id,name,contact_phone,email,guardian_name,guardian_phone,skills_qualifications,disability_type,disability_subcategory,age,nationality,trainings_acquired,area_of_interest,current_status,institution_or_employer,suggested_suitability,aptitude_score_percent,aptitude_category,IQ_level
1,Anjali Thomas,971543321819,anjali.thomas.1@example.com,Ahmed Al Hosani,971524000000,"Data entry, Accounting basics",Intellectual,Mild intellectual disability,30,Indian,"Barista & cafe skills, Data entry, Customer service",Administration,Freelance,Not currently enrolled or employed,Supported employment with job coach,72,Good,98
2,Huda Al Hosani,971545940781,huda.al.hosani.2@example.com,Lucas Brown,971565000000,Bookkeeping,Learning,Dyslexia / learning difficulty,30,Syrian,,Education Support,Working,Freelance / Self-employed,Supervised admin tasks,74,Good,118
3,Zainab Al Neyadi,971584192832,zainab.al.neyadi.3@example.com,Sanjay Menon,971588000000,"Warehouse assistant, Handicrafts, Sales support",Intellectual,Mild intellectual disability,33,Emirati,"CNC basics, Customer service, Data entry",Retail,Studying,Company B (Hospitality),Hospitality support roles with routines,61,Average,97
4,Rashid Al Falasi,971566532871,rashid.al.falasi.4@example.com,Reema Singh,971523000000,"Data entry, IT support, Transcription",Intellectual,Moderate intellectual disability,49,Indian,"Barista & cafe skills, Hospitality training",Handicrafts & Art,Working,Company A (Retail),"Structured vocational roles (assembly, packaging)",88,Excellent,109
5,Ethan Hall,971522814893,ethan.hall.5@example.com,Hamad Al Ali,971528000000,Gardening,Hearing,Deaf,35,Emirati,,Hospitality,Unemployed,Not currently enrolled or employed,"Visual roles (data entry, graphic design)",57,Average,106
6,Mason Johnson,971527824896,mason.johnson.6@example.com,Mason Williams,971585000000,Gardening,Visual,Blind / no vision,30,Emirati,Special education support,Administration,Studying,Not currently enrolled or employed,IT roles with screen-reader support,58,Average,94
7,Fatima Al Mazroui,971525183473,fatima.al.mazroui.7@example.com,Asha Balakrishnan,971567000000,"Admin assistance, Customer support",Learning,Dyslexia / learning difficulty,43,Indian,,IT & Digital,Working,Community College Sharjah,Roles with assistive tech (auditory support),68,Average,77
8,Khalid Al Ali,971552624731,khalid.al.ali.8@example.com,Latifa Al Hosani,971508000000,Accounting basics,Intellectual,Moderate intellectual disability,29,British,"Basic IT (MS Office), Warehouse operations, Data entry",Technical Repair,Unemployed,Not currently enrolled or employed,Supported employment with job coach,39,Needs Support,93
9,Latifa Al Hammadi,971587234309,latifa.al.hammadi.9@example.com,Anjali Thomas,971540000000,Graphic design,Physical,Mobility impairment (wheelchair user),48,Emirati,,Sales & Marketing,Unemployed,Not currently enrolled or employed,Accessible admin/IT roles,49,Below Average,103
10,Rashid Al Neyadi,971569091699,rashid.al.neyadi.10@example.com,Farah Patel,971525000000,"Gardening, IT support, Graphic design",Hearing,Deaf,20,Emirati,Soft skills & communication,Handicrafts & Art,Studying,Community College Sharjah,"Visual roles (data entry, graphic design)",51,Average,83
